32 85 19 37 0
34 65 30 39 0
38 74 50 19 0
21 94 45 26 0
33 113 39 34 0
31 71 19 33 0
33 98 50 70 0
42 68 22 18 0
30 122 41 39 0
12 121 56 60 0
21 71 28 35 0
30 89 50 26 0
48 115 54 64 0
11 80 26 22 0
64 127 47 53 0
26 79 4 25 0
26 85 17 32 0
18 92 37 39 0
28 76 28 44 0
31 62 17 39 0
15 88 32 39 0
39 83 24 30 0
39 73 32 18 0
27 83 0 16 0
39 88 17 44 0
34 54 13 19 0
24 76 13 42 0
34 71 34 21 0
41 88 26 42 0
20 59 50 22 0
33 121 52 51 0
31 104 39 44 0
47 82 17 30 0
25 94 19 21 0
36 91 26 69 0
20 74 22 16 0
40 80 50 42 0
18 82 30 14 0
55 100 52 60 0
23 57 28 11 0
35 86 39 67 0
42 89 22 26 0
18 73 39 26 0
47 122 41 51 0
35 70 30 28 0
37 88 34 56 0
13 73 39 26 0
46 97 60 48 0
11 76 32 7 0
43 83 41 35 0
32 67 30 30 0
39 86 45 39 0
20 53 19 5 0
25 91 47 37 0
17 57 28 16 0
42 121 50 60 0
25 59 28 32 0
42 77 43 48 0
20 60 26 5 0
44 74 43 44 0
16 47 50 23 0
42 91 34 49 0
18 53 39 12 0
45 95 56 62 0
6 89 39 32 0
35 80 39 42 0
35 62 52 30 0
63 88 54 51 0
16 67 39 35 0
49 82 50 55 0
41 56 41 35 0
24 95 26 42 0
19 45 32 30 0
46 91 50 46 0
12 62 37 18 0
50 68 52 71 0
21 86 32 39 0
14 95 45 53 0
24 71 41 23 0
42 109 47 30 0
19 97 39 39 0
22 83 37 28 0
29 92 37 44 0
31 86 39 32 0
17 74 65 30 0
42 76 71 56 0
9 60 28 25 0
35 76 30 62 0
19 64 32 21 0
40 88 77 56 0
28 83 39 35 0
38 82 52 58 0
5 45 13 7 0
51 82 43 49 0
13 73 43 36 0
41 104 67 71 0
26 44 24 13 0
26 104 39 55 0
27 83 45 8 0
35 88 26 30 0
30 62 58 37 0
28 104 39 42 0
28 59 19 17 0
51 89 54 73 0
28 51 56 40 0
62 109 41 67 0
35 70 45 18 0
47 97 54 56 0
35 115 41 42 0
49 79 52 49 0
30 59 34 7 0
24 112 58 38 0
17 59 37 23 0
42 83 37 22 0
19 62 32 16 0
26 101 56 28 0
37 59 9 26 0
43 82 65 41 0
14 42 30 12 0
39 89 58 46 0
31 68 41 20 0
43 79 50 56 0
32 60 41 12 0
55 74 82 46 0
30 73 39 22 0
51 92 54 28 0
22 82 45 28 0
25 82 58 63 0
28 68 32 26 0
42 67 39 42 0
16 67 41 17 0
37 106 60 45 0
23 51 28 25 0
35 73 45 55 0
37 60 45 25 0
39 62 32 27 0
0 36 34 12 0
40 59 39 36 0
24 56 43 11 0
32 85 28 34 0
33 83 39 55 0
21 80 26 27 0
18 71 50 26 0
26 76 45 37 0
18 60 32 35 0
43 82 62 46 0
67 73 43 28 1
83 97 52 42 1
89 92 45 34 1
61 85 34 29 1
95 101 54 36 1
60 71 56 44 1
65 77 13 19 1
89 77 54 37 1
64 88 50 51 1
89 103 56 35 1
67 71 45 39 1
91 109 47 38 1
69 64 28 35 1
92 76 62 48 1
64 60 39 31 1
85 98 62 48 1
84 104 54 21 1
120 71 19 35 1
66 83 39 26 1
79 77 50 60 1
48 64 19 32 1
76 67 41 25 1
51 53 32 7 1
85 95 45 39 1
67 73 50 21 1
92 89 54 51 1
85 80 60 25 1
80 89 60 39 1
66 71 41 35 1
96 104 71 65 1
41 53 32 18 1
102 116 62 56 1
48 54 32 23 1
87 86 67 49 1
81 83 50 32 1
71 56 58 42 1
72 79 50 41 1
92 115 82 74 1
68 53 43 0 1
99 103 71 64 1
78 97 82 44 1
65 67 32 34 1
87 91 52 30 1
62 59 52 28 1
87 73 52 34 1
86 82 62 62 1
83 73 39 25 1
78 98 86 56 1
90 85 32 19 1
82 64 56 34 1
74 50 58 22 1
89 89 62 44 1
63 64 45 32 1
86 100 67 48 1
48 64 32 23 1
93 86 54 26 1
60 53 41 19 1
79 103 67 48 1
84 86 65 39 1
62 95 47 29 1
91 97 73 44 1
68 51 37 34 1
63 59 50 34 1
109 101 75 46 1
53 76 65 25 1
81 77 45 38 1
86 89 82 49 1
84 85 56 38 1
65 2 84 64 2
83 48 125 106 2
77 15 82 62 2
83 32 99 106 2
72 21 93 95 2
67 6 82 65 2
61 23 84 74 2
67 33 101 88 2
52 5 80 60 2
68 35 93 86 2
41 9 90 69 2
78 45 95 101 2
